Search Type, N, Target, Guesses
Binary Search: Size 128500 | Average Guesses =  16.6
Linear Search: Size 128500 | Average Guesses = 52989.4 
Linear Search: Size 129000 | Average Guesses = 70394.5 
Binary Search: Size 129000 | Average Guesses =  16.4
Binary Search: Size 129500 | Average Guesses =  16.1
Linear Search: Size 129500 | Average Guesses = 49945.8 
Binary Search: Size 127500 | Average Guesses =  16.2
Binary Search: Size 130000 | Average Guesses =  16.3
Binary Search: Size 127000 | Average Guesses =  16.2
Linear Search: Size 130500 | Average Guesses = 50587.3 
Binary Search: Size 119500 | Average Guesses =  16
Binary Search: Size 131000 | Average Guesses =  15.9
Linear Search: Size 131500 | Average Guesses = 80912.8 
Binary Search: Size 130500 | Average Guesses =  16.4
Linear Search: Size 131000 | Average Guesses = 45306.4 
Binary Search: Size 132000 | Average Guesses =  15.6
Binary Search: Size 132500 | Average Guesses =  16.2
Linear Search: Size 132500 | Average Guesses = 80894.6 
Binary Search: Size 133000 | Average Guesses =  14.9
Linear Search: Size 133000 | Average Guesses = 75018.3 
Linear Search: Size 130000 | Average Guesses = 52901.3 
Binary Search: Size 133500 | Average Guesses =  15.5
Linear Search: Size 134000 | Average Guesses = 51485.2 
Binary Search: Size 134000 | Average Guesses =  16.1
Binary Search: Size 131500 | Average Guesses =  15.8
Binary Search: Size 134500 | Average Guesses =  16.2
Linear Search: Size 132000 | Average Guesses = 76805.8 
Binary Search: Size 135000 | Average Guesses =  16.3
Binary Search: Size 135500 | Average Guesses =  15.8
Linear Search: Size 135500 | Average Guesses = 68616 
